name,urls,first
scploid,https://github.com/MarioniLab/Aneuploidy2017,https://github.com/MarioniLab/Aneuploidy2017
scTSSR,https://github.com/Zhangxf-ccnu/scTSSR,https://github.com/Zhangxf-ccnu/scTSSR
SingleCellExplorer,https://github.com/d-feng/scExplorer,https://github.com/d-feng/scExplorer
TRUmiCount,https://github.com/Cibiv/trumicount,https://github.com/Cibiv/trumicount
ddSeeker,https://github.com/cgplab/ddSeeker,https://github.com/cgplab/ddSeeker
ENHANCE,https://github.com/yanailab/enhance|https://github.com/yanailab/enhance/blob/master/README.md,https://github.com/yanailab/enhance
geneBasisR,https://github.com/MarioniLab/geneBasisR|https://github.com/MarioniLab/geneBasisR/blob/master/README.md,https://github.com/MarioniLab/geneBasisR
GraphCS,https://github.com/biomed-AI/GraphCS,https://github.com/biomed-AI/GraphCS
ICAnet,https://github.com/WWXkenmo/ICAnet|https://github.com/WWXkenmo/ICAnet/blob/master/README.md,https://github.com/WWXkenmo/ICAnet
powerEQTL,https://github.com/sterding/powerEQTL,https://github.com/sterding/powerEQTL
SCAPTURE,https://github.com/YangLab/SCAPTURE|https://github.com/YangLab/SCAPTURE/blob/master/README.md,https://github.com/YangLab/SCAPTURE
scarf,https://scarf.readthedocs.io/en/latest/|https://github.com/parashardhapola/scarf,https://scarf.readthedocs.io/en/latest/
scBASE,https://github.com/churchill-lab/scBASE,https://github.com/churchill-lab/scBASE
scConnect,https://scConnect.readthedocs.io/en/latest/|https://github.com/JonETJakobsson/scConnect,https://scConnect.readthedocs.io/en/latest/
scDGN,https://github.com/SongweiGe/scDGN,https://github.com/SongweiGe/scDGN
scDiffCom,https://github.com/CyrilLagger/scDiffCom,https://github.com/CyrilLagger/scDiffCom
scruff,https://bioconductor.org/packages/release/bioc/html/scruff.html|https://github.com/campbio/scruff,https://bioconductor.org/packages/release/bioc/html/scruff.html
sircel,https://github.com/pachterlab/Sircel|https://github.com/pachterlab/Sircel/blob/master/README.md,https://github.com/pachterlab/Sircel
SPmarker,https://github.com/LiLabAtVT/SPMarker|https://github.com/LiLabAtVT/SPMarker/blob/master/README.md,https://github.com/LiLabAtVT/SPMarker
TBSP,https://github.com/phoenixding/tbsp|https://github.com/phoenixding/tbsp/blob/master/README.md,https://github.com/phoenixding/tbsp
Tweedieverse,https://github.com/himelmallick/Tweedieverse,https://github.com/himelmallick/Tweedieverse
VeloVAE,https://velovae.readthedocs.io/en/latest/|https://github.com/welch-lab/VeloVAE|https://github.com/welch-lab/VeloVAE/blob/master/README.md,https://velovae.readthedocs.io/en/latest/
ACTIVA,https://activa.readthedocs.io/en/latest/|https://github.com/SindiLab/ACTIVA|https://github.com/SindiLab/ACTIVA/blob/master/README.md,https://activa.readthedocs.io/en/latest/
Cellar,https://github.com/euxhenh/cellar,https://github.com/euxhenh/cellar
Falco,https://Falco.readthedocs.io/en/latest/|https://github.com/VCCRI/Falco|https://github.com/VCCRI/Falco/blob/master/README.md,https://Falco.readthedocs.io/en/latest/
HurdleNormal,https://github.com/amcdavid/HurdleNormal|https://github.com/amcdavid/HurdleNormal/blob/master/README.md,https://github.com/amcdavid/HurdleNormal
POWSC,https://bioconductor.org/packages/release/bioc/html/POWSC.html|https://github.com/suke18/POWSC|https://github.com/suke18/POWSC/blob/master/README.md,https://bioconductor.org/packages/release/bioc/html/POWSC.html
SCATS,https://github.com/huyustats/SCATS|https://github.com/huyustats/SCATS/blob/master/README.md,https://github.com/huyustats/SCATS
scDeepInsight,https://github.com/shangruJia/scDeepInsight|https://github.com/shangruJia/scDeepInsight/blob/master/README.md,https://github.com/shangruJia/scDeepInsight
scGWAS,https://github.com/bsml320/scGWAS,https://github.com/bsml320/scGWAS
SCReadCounts,https://github.com/HorvathLab/NGS,https://github.com/HorvathLab/NGS
SICILIAN,https://github.com/salzmanlab/SICILIAN|https://github.com/salzmanlab/SICILIAN/blob/master/README.md,https://github.com/salzmanlab/SICILIAN
StationaryOT,https://github.com/zsteve/StationaryOT|https://github.com/zsteve/StationaryOT/blob/master/README.md,https://github.com/zsteve/StationaryOT
VECTOR,https://VECTOR.readthedocs.io/en/latest/|https://github.com/jumphone/Vector|https://github.com/jumphone/Vector/blob/master/README.md,https://VECTOR.readthedocs.io/en/latest/
activeSVC,https://github.com/xqchen/activeSVC,https://github.com/xqchen/activeSVC
aggregateBioVar,https://bioconductor.org/packages/release/bioc/html/aggregateBioVar.html|https://github.com/jasonratcliff/aggregateBioVar,https://bioconductor.org/packages/release/bioc/html/aggregateBioVar.html
iS-CellR,https://github.com/immcore/iS-CellR,https://github.com/immcore/iS-CellR
JAMIE,https://JAMIE.readthedocs.io/en/latest/|https://github.com/daifengwanglab/JAMIE|https://github.com/daifengwanglab/JAMIE/blob/master/README.md,https://JAMIE.readthedocs.io/en/latest/
MFA,https://github.com/kieranrcampbell/mfa|https://www.nature.com/articles/s41587-019-0065-7,https://github.com/kieranrcampbell/mfa
minnow,https://minnow.readthedocs.io/en/latest/|https://github.com/COMBINE-lab/minnow|https://github.com/COMBINE-lab/minnow/blob/master/README.md,https://minnow.readthedocs.io/en/latest/
PALMO,https://github.com/aifimmunology/PALMO|https://github.com/aifimmunology/PALMO/blob/master/README.md,https://github.com/aifimmunology/PALMO
Triku,https://Triku.readthedocs.io/en/latest/|https://gitlab.com/alexmascension/triku,https://Triku.readthedocs.io/en/latest/
CALISTA,https://CALISTA.readthedocs.io/en/latest/|https://github.com/CABSEL/CALISTA,https://CALISTA.readthedocs.io/en/latest/
DElegate,https://github.com/cancerbits/DElegate|https://www.nature.com/articles/s41587-019-0065-7,https://github.com/cancerbits/DElegate
EMEP,https://github.com/lixt314/EMEP,https://github.com/lixt314/EMEP
FLOWMAPR,https://github.com/zunderlab/FLOWMAP,https://github.com/zunderlab/FLOWMAP
fusca,https://github.com/edroaldo/fusca,https://github.com/edroaldo/fusca
GLUER,https://github.com/tanlabcode/GLUER,https://github.com/tanlabcode/GLUER
JSNMF_py,https://github.com/cuhklinlab/JSNMF_py,https://github.com/cuhklinlab/JSNMF_py
MAAPER,https://github.com/Vivianstats/MAAPER,https://github.com/Vivianstats/MAAPER
scPNMF,https://github.com/JSB-UCLA/scPNMF,https://github.com/JSB-UCLA/scPNMF
scVAEIT,https://github.com/jaydu1/scVAEIT,https://github.com/jaydu1/scVAEIT
SMNN,https://github.com/yycunc/SMNN,https://github.com/yycunc/SMNN
TIGON,https://github.com/yutongo/TIGON,https://github.com/yutongo/TIGON
VeTra,https://github.com/wgzgithub/VeTra,https://github.com/wgzgithub/VeTra
CIDER,https://CIDER.readthedocs.io/en/latest/|https://github.com/zhiyhu/CIDER,https://CIDER.readthedocs.io/en/latest/
DREAM,https://DREAM.readthedocs.io/en/latest/|https://github.com/Crystal-JJ/DREAM,https://DREAM.readthedocs.io/en/latest/
EMBEDR,https://github.com/ejohnson643/EMBEDR,https://github.com/ejohnson643/EMBEDR
genesorteR,https://genesorteR.readthedocs.io/en/latest/|https://github.com/mahmoudibrahim/genesorteR,https://genesorteR.readthedocs.io/en/latest/
GRNUlar,https://github.com/Harshs27/GRNUlar,https://github.com/Harshs27/GRNUlar
HGC,https://HGC.readthedocs.io/en/latest/|https://bioconductor.org/packages/release/bioc/html/HGC.html|https://github.com/stevenhuakui/HGC,https://HGC.readthedocs.io/en/latest/
IKAP,https://github.com/NHLBI-BCB/IKAP,https://github.com/NHLBI-BCB/IKAP
iSMNN,https://github.com/yycunc/iSMNN,https://github.com/yycunc/iSMNN
LAK,https://github.com/HIT-biostatistical/LAK,https://github.com/HIT-biostatistical/LAK
LatentVelo,https://github.com/Spencerfar/LatentVelo|https://github.com/Spencerfar/LatentVelo/tree/master/paper_notebooks|https://github.com/Spencerfar/LatentVelo/blob/master/DOCUMENTATION.md|https://github.com/Spencerfar/LatentVelo/tree/master/examples,https://github.com/Spencerfar/LatentVelo
Monod,https://github.com/pachterlab/monod,https://github.com/pachterlab/monod
Mowgli,https://mowgli.readthedocs.io/en/latest/|https://github.com/cantinilab/mowgli,https://mowgli.readthedocs.io/en/latest/
mtSC,https://github.com/bm2-lab/mtSC,https://github.com/bm2-lab/mtSC
PercentMaxDiff,https://github.com/scottyler89/PercentMaxDiff,https://github.com/scottyler89/PercentMaxDiff
scAdapt,https://github.com/zhoux85/scAdapt,https://github.com/zhoux85/scAdapt
scConsensus,https://github.com/prabhakarlab/scConsensus,https://github.com/prabhakarlab/scConsensus
scFlow,https://github.com/combiz/scflow,https://github.com/combiz/scflow
scGCL,https://github.com/zehaoxiong123/scGCL,https://github.com/zehaoxiong123/scGCL
scINSIGHT,https://github.com/Vivianstats/scINSIGHT,https://github.com/Vivianstats/scINSIGHT
scRCMF,https://github.com/XiaoyingZheng121/scRCMF,https://github.com/XiaoyingZheng121/scRCMF
SEGtool,http://bioinfo.life.hust.edu.cn/SEGtool/,http://bioinfo.life.hust.edu.cn/SEGtool/
ADClust,https://github.com/biomed-AI/ADClust,https://github.com/biomed-AI/ADClust
BENISSE,https://github.com/wooyongc/Benisse,https://github.com/wooyongc/Benisse
BESCA,https://github.com/bedapub/besca|https://github.com/bedapub/besca_publication_results|https://bedapub.github.io/besca/,https://github.com/bedapub/besca
BUSseq,https://bioconductor.org/packages/release/bioc/html/BUSseq.html|https://github.com/songfd2018/BUSseq|https://github.com/songfd2018/BUSseq/tree/master/vignettes,https://bioconductor.org/packages/release/bioc/html/BUSseq.html
CellBIC,https://github.com/neocaleb/CellBIC,https://github.com/neocaleb/CellBIC
CytoTRACE2,https://github.com/digitalcytometry/cytotrace2|https://github.com/digitalcytometry/cytotrace2/tree/master/cytotrace2_python,https://github.com/digitalcytometry/cytotrace2
